N,D,jitter_std,rep,vpp_clean_uV,vpp_noisy_uV,snr,peak_neg_uV,crossings,detected
5,100,0,1,5.636478759818497,32.32510483917197,0.5636478759818497,-3.165772209082116,0,False
5,100,0,2,9.558300282278688,31.151245987365282,0.9558300282278689,-5.304325181459566,0,False
5,100,3,0,9.019997901755943,30.834272014687194,0.9019997901755943,-4.9640829704193905,0,False
5,100,3,1,5.45342953410645,33.4521460796586,0.545342953410645,-3.253218236391578,0,False
5,100,3,2,6.715128828315828,39.05263596991148,0.6715128828315828,-3.5861146964068484,0,False
5,100,5,0,5.398140640025838,39.342444285388034,0.5398140640025838,-3.4271676696732043,1,True
5,100,5,1,5.749635106425091,35.41051856893098,0.5749635106425091,-3.583589932885639,0,False
5,100,5,2,5.4069428195523255,30.988427712378826,0.5406942819552325,-3.3174270653766205,0,False
5,100,10,0,5.664248152224486,32.01520172285856,0.5664248152224486,-3.423397849104446,0,False
5,100,10,1,2.790413239282069,36.026067999648454,0.2790413239282069,-1.6209395346076187,1,True
5,100,10,2,4.091900015342916,34.20706644157757,0.40919000153429164,-2.5368061814143124,0,False
5,100,20,0,3.122867008178268,31.81681640534743,0.31228670081782683,-1.9441984116720556,0,False
5,100,20,1,4.634691444323668,34.81053979554419,0.46346914443236675,-2.8811740139371915,0,False
5,100,20,2,5.699740472285493,37.67360880217937,0.5699740472285493,-2.949067229802599,0,False
5,100,30,0,4.085857880274921,32.80218430668168,0.4085857880274921,-2.558898939371975,0,False
5,100,30,1,3.6505534313697154,36.271570687291046,0.3650553431369715,-2.250406343493679,1,True
5,100,30,2,3.494983150382536,34.89711727592994,0.3494983150382536,-2.1934153319417367,0,False
5,100,50,0,5.781914840280213,35.180239205644014,0.5781914840280213,-3.6154539952557037,0,False
5,100,50,1,4.8582170995285665,32.61542492749888,0.4858217099528567,-2.41188156720117,0,False
5,100,50,2,4.837671106728109,29.872558477907646,0.4837671106728109,-3.0175567878791743,0,False
5,150,0,0,2.5139745297133684,34.928778452120895,0.25139745297133687,-1.295296208985853,0,False
5,150,0,1,1.3564750109637465,37.3853525244417,0.13564750109637463,-0.675859899177685,0,False
5,150,0,2,1.7233147089600123,33.22060708327501,0.17233147089600123,-0.8943788099818889,0,False
5,150,3,0,3.842900982701056,37.43676114035458,0.3842900982701056,-2.2414170461886616,1,True
5,150,3,1,2.777233280518615,32.061452768689804,0.2777233280518615,-1.7578363995636177,0,False
5,150,3,2,3.1516058139574366,35.236044083727066,0.31516058139574366,-1.931701033255157,0,False
5,150,5,0,1.5684369259095896,39.69479880548144,0.15684369259095896,-0.9864289803710824,0,False
5,150,5,1,1.1198402386773805,34.536067876156345,0.11198402386773805,-0.6794116063736909,0,False
5,150,5,2,1.2909827943281615,30.416157892550842,0.12909827943281615,-0.6489023406196658,0,False
5,150,10,0,2.3557830264564856,36.95082939961472,0.23557830264564855,-1.2107196347170242,0,False
5,150,10,1,1.903382007630451,37.15891575471029,0.1903382007630451,-1.1410300225917822,0,False
5,150,10,2,1.3654489032636417,34.22245380169931,0.13654489032636416,-0.7787640832141061,0,False
5,150,20,0,2.0135444825780255,36.046911924288736,0.20135444825780255,-1.0767686217452153,0,False
5,150,20,1,1.67914805421933,33.67386613708198,0.167914805421933,-1.013800157831703,0,False
5,150,20,2,2.332880878893579,33.45965259373569,0.2332880878893579,-1.2529911717511846,0,False
5,150,30,0,2.5409272894525863,35.786851415344245,0.25409272894525864,-1.4732512010627805,0,False
5,150,30,1,1.5065026828043027,37.01768652901443,0.15065026828043027,-0.9220781837840949,0,False
5,150,30,2,2.2615196932695163,33.784076177729446,0.22615196932695164,-1.213592737198089,0,False
5,150,50,0,2.430087963350319,34.18001093621638,0.2430087963350319,-1.5136191549799767,0,False
5,150,50,1,1.4071548283885016,31.767805764888656,0.14071548283885016,-0.8366800107808687,0,False
5,150,50,2,0.8351554881268729,34.76439670479401,0.08351554881268729,-0.45896539127282276,0,False
5,200,0,0,2.6110582971559966,33.74223820514975,0.26110582971559965,-1.5705489884009396,0,False
5,200,0,1,1.4884515408069992,32.553818600965855,0.14884515408069993,-0.7209913226108904,0,False
5,200,0,2,0.8898433994511732,30.237005697303182,0.08898433994511731,-0.4780591748152999,0,False
5,200,3,0,1.4470893875674293,33.28861846247166,0.14470893875674293,-0.8370913732483981,0,False
5,200,3,1,2.3331756516359174,33.59334684697975,0.23331756516359176,-0.9406769653803346,0,False
5,200,3,2,1.4120048823360793,30.645870423367647,0.14120048823360792,-0.8315143264197445,0,False
5,200,5,0,0.7052081469034264,35.61797343685218,0.07052081469034263,-0.4169944958255271,0,False
5,200,5,1,0.7499659898281272,37.66015805962949,0.07499659898281272,-0.3768425850511331,0,False
5,200,5,2,1.1917558468642162,34.45840634502674,0.11917558468642162,-0.6858008255003423,0,False
5,200,10,0,1.4611302830777921,34.45084733581473,0.14611302830777922,-0.708561843487427,0,False
5,200,10,1,1.369245133933875,32.794826926869355,0.1369245133933875,-0.5527086919068114,0,False
5,200,10,2,1.3098727560080734,36.19211377332711,0.13098727560080733,-0.7841923665001291,0,False
5,200,20,0,1.2162670951669567,37.53844147858943,0.12162670951669567,-0.7398744167872191,0,False
5,200,20,1,1.1705789187166113,32.46384347935204,0.11705789187166113,-0.46082246552689027,0,False
5,200,20,2,1.0462832245853102,35.79516527684349,0.10462832245853101,-0.6688467891849926,0,False
5,200,30,0,1.6494149984474529,32.20933983435482,0.1649414998447453,-0.9788363736445636,0,False
5,200,30,1,0.7742773792494955,36.559822151127534,0.07742773792494954,-0.30669172783147347,0,False
5,200,30,2,0.9771076757563483,35.943083920876376,0.09771076757563482,-0.5848105559634368,1,True
5,200,50,0,0.5399619056267653,33.68983217065862,0.05399619056267653,-0.2733654894231738,0,False
5,200,50,1,1.8663629364492902,35.08373057419405,0.186636293644929,-0.8792202104353628,0,False
5,200,50,2,0.896054848679504,38.60276352804145,0.0896054848679504,-0.48944238781017885,0,False
10,25,0,0,126.38400824295867,138.8598534964794,12.638400824295868,-70.84207468133484,8,True
10,25,0,1,85.72610071325471,87.10108556591226,8.572610071325471,-41.71912908305744,6,True
10,25,0,2,61.260536672742774,73.0453170855829,6.126053667274277,-28.983644440205513,3,True
10,25,3,0,90.4981593202847,97.21530373362256,9.04981593202847,-46.47636956866044,8,True
10,25,3,1,98.60384423331547,101.40508205819202,9.860384423331547,-57.0197874866068,6,True
10,25,3,2,96.08646810537745,104.8370917016239,9.608646810537746,-60.716406029222334,6,True
10,25,5,0,93.06841034868118,98.76818565630693,9.306841034868118,-51.31519855297899,15,True
10,25,5,1,60.24946350414349,64.9141099387715,6.024946350414349,-31.27285744285631,9,True
10,25,5,2,84.09007606883537,93.9807203428836,8.409007606883538,-46.81856862151267,3,True
10,25,10,0,79.92995748005384,94.4503370323932,7.992995748005384,-43.42386572507291,8,True
10,25,10,1,81.56234217075475,96.36503279060271,8.156234217075475,-44.015016415581115,15,True
10,25,10,2,93.45098098094002,101.53090016555731,9.345098098094002,-56.42865465198458,7,True
10,25,20,0,79.37106606783462,92.88216570461478,7.937106606783462,-48.50017126919671,19,True
10,25,20,1,82.24392689393704,93.37787355067567,8.224392689393705,-46.01564791796887,10,True
10,25,20,2,65.46046644059538,74.84294803826357,6.546046644059539,-39.6148370865389,10,True
10,25,30,0,76.43349113737223,85.5570386837349,7.643349113737223,-48.159417515740955,14,True
10,25,30,1,66.72864778644811,76.21802959686043,6.6728647786448105,-38.378464698496714,18,True
10,25,30,2,88.28326935402649,100.72279725332353,8.828326935402648,-52.198619551009145,13,True
10,25,50,0,94.4258066409433,103.55447851474898,9.442580664094331,-59.173092847878294,11,True
10,25,50,1,52.578174379956494,65.13328325494793,5.25781743799565,-27.70908280341777,16,True
10,25,50,2,60.90699718043139,70.41137910107821,6.090699718043139,-32.91457239039039,11,True
10,50,0,0,28.774213813857642,45.10684320906579,2.8774213813857643,-13.916392881794954,2,True
10,50,0,1,37.652452988391474,49.04428497465105,3.7652452988391474,-22.068327635752446,3,True
10,50,0,2,23.411746145336487,46.04428118965521,2.3411746145336485,-13.155608541792255,1,True
10,50,3,0,55.32996265002693,61.649981389061395,5.5329962650026925,-30.08438979779187,6,True
10,50,3,1,58.68365621317774,77.1904512765708,5.868365621317774,-33.25033202287192,4,True
10,50,3,2,40.60986437867995,54.789674265318865,4.060986437867995,-23.846043451891166,3,True
10,50,5,0,24.01396184211088,46.840744657534515,2.4013961842110882,-13.898814316773054,3,True
10,50,5,1,30.21759758300667,42.01583956148922,3.021759758300667,-16.911679347092402,1,True
10,50,5,2,31.076216706933074,47.75731459989889,3.1076216706933075,-18.36382775317251,5,True
10,50,10,0,25.94001803607964,35.71559965623561,2.5940018036079637,-15.597577628033257,0,False
10,50,10,1,31.16532716475743,45.91909907576481,3.116532716475743,-19.953342482292086,2,True
10,50,10,2,19.292554007144336,43.290041476674176,1.9292554007144336,-12.09361941604292,1,True
10,50,20,0,21.95672911805117,43.99353350930823,2.1956729118051173,-12.325555246651,2,True
10,50,20,1,16.059037960276903,31.150646685886592,1.6059037960276903,-10.296772012051106,0,False
10,50,20,2,24.232436077576338,39.096236633783505,2.423243607757634,-12.784672191946164,0,False
10,50,30,0,23.86820140419131,43.54544431465689,2.386820140419131,-13.448843954448119,4,True
10,50,30,1,25.194671436668305,38.25453896283899,2.5194671436668306,-13.121910151560746,0,False
10,50,30,2,36.36214266036884,55.542891841436315,3.636214266036884,-19.20488162340004,3,True
10,50,50,0,16.92969989330596,38.302266625788434,1.6929699893305958,-10.634796163871112,0,False
10,50,50,1,29.97298530008981,42.34148674600911,2.997298530008981,-15.510069106932429,2,True
10,50,50,2,21.98956782128149,37.6565374180027,2.198956782128149,-10.635184410401544,0,False
10,75,0,0,20.96464108509894,36.74689259786027,2.096464108509894,-11.227117006090264,0,False
10,75,0,1,21.400378061830523,37.554415629116875,2.1400378061830523,-10.124442057803998,0,False
10,75,0,2,10.419357539325215,36.24197367048019,1.0419357539325216,-5.545606098057425,0,False
